05,eb,90,d0,07,01,03,01,99,01,01,01,01,01,01,01,01,13,c7,01,c1,80,01,3d,cc,61,0d,c0,3f,77,17,41,1b,e5,9d,01,01,05,eb,90,b8,0b,01,07,01,81,eb,92,1d,09,01,05,04,01,ef,18,02,19,03,a0,65,1e,3f,7a,c8,a9,3f,fa,e8,69,40,3b,18,4b,40,82,53,2b,40,a0,a4,7b,40,be,e8,ac,bd,7d,8b,17,0b,02,0c,01,01,01,01,01,03,01,02,00
05,eb,90,a0,0f,01,03,02,99,01,01,01,01,01,01,01,01,13,c8,01,c2,81,02,3b,cd,4a,20,c0,40,57,6f,41,1c,61,fb,01,01,05,eb,90,88,13,01,07,02,81,eb,92,1d,09,01,05,05,01,ef,19,02,1a,03,a1,66,1e,3f,81,ee,a5,3f,f3,e6,bf,40,42,7e,96,40,7e,7b,ae,40,a1,cf,71,40,bf,b5,df,bc,47,29,32,0c,02,0e,01,01,01,01,01,03,01,02,00
05,eb,90,70,17,01,03,03,99,01,01,01,01,01,01,01,01,13,c8,01,c2,81,03,3d,51,41,63,c0,45,98,ac,41,1b,4e,d8,01,01,05,eb,90,58,1b,01,07,03,81,eb,92,1d,09,01,05,06,01,ef,1b,02,1c,03,a3,67,1e,3f,76,e8,54,40,02,4c,28,40,3a,a2,70,40,7a,68,18,40,a2,81,36,40,bf,ce,ca,3d,b7,29,e2,0d,02,10,01,01,01,01,01,03,01,02,00
05,eb,90,40,1f,01,03,04,99,01,01,01,01,01,01,01,01,13,c9,01,c3,82,04,3d,a7,ba,09,c0,3d,bc,c4,41,1d,85,55,01,01,05,eb,90,28,23,01,07,04,81,eb,92,1d,09,01,05,07,01,ef,1b,02,1c,03,a3,68,1e,3f,84,10,fc,3f,fe,ed,9a,40,3f,a5,60,40,81,09,4b,40,9d,8f,9b,40,c1,f8,8c,bd,a7,51,7a,0e,02,12,01,01,01,01,01,03,01,02,00
05,eb,90,10,27,01,03,05,99,01,01,01,01,01,01,01,01,13,c9,01,c3,82,05,3d,c6,18,7a,c0,45,79,d9,41,1d,01,77,01,01,05,eb,90,f8,2a,01,07,05,81,eb,92,1d,09,01,05,08,01,ef,1c,02,1d,03,a4,69,1e,3f,8a,61,30,40,06,28,68,40,42,98,c8,40,7d,8a,cd,40,9f,0b,9c,40,bf,ab,53,3d,c1,55,d8,0f,02,14,01,01,01,01,01,03,01,02,00
05,eb,90,e0,2e,01,03,06,99,01,01,01,01,01,01,01,01,13,ca,01,c4,83,06,bd,34,9b,cf,c0,3d,48,e0,41,1d,0f,0b,01,01,05,eb,90,c8,32,01,07,06,81,eb,92,1d,09,01,05,09,01,ef,1e,02,1f,03,a6,6a,1e,3f,88,c7,f9,40,04,ea,8e,40,43,51,05,40,7e,ae,f5,40,9f,e8,c7,40,bd,c5,ed,bd,0a,82,89,10,02,16,01,01,01,01,01,03,01,02,00
05,eb,90,b0,36,01,03,07,99,01,01,01,01,01,01,01,01,13,ca,01,c4,83,07,bc,8c,47,3b,c0,40,03,d0,41,1d,a6,53,01,01,05,eb,90,98,3a,01,07,07,81,eb,92,1d,09,01,05,0a,01,ef,1e,02,1f,03,a6,6b,1c,3f,71,67,62,3f,ff,14,2d,40,45,9c,f5,40,80,ed,e8,40,a1,32,79,40,bd,e0,58,3d,59,c0,02,11,02,18,01,01,01,01,01,03,01,02,00
05,eb,90,80,3e,01,03,08,99,01,01,01,01,01,01,01,01,13,cb,01,c5,84,08,bd,39,ce,d3,c0,45,37,80,41,1b,68,76,01,01,05,eb,90,68,42,01,07,08,81,eb,92,1d,09,01,05,0b,01,ef,1f,02,20,03,a7,6c,06,3f,7f,96,e0,40,18,0d,aa,40,3f,ae,81,40,80,92,18,40,9e,60,ac,40,bd,0b,58,3d,70,80,34,12,02,1a,01,01,01,01,01,03,01,02,00
05,eb,90,50,46,01,03,09,99,01,01,01,01,01,01,01,01,13,cb,01,c5,84,09,bc,d7,ad,f9,c0,3b,a8,d4,41,1c,52,40,01,01,05,eb,90,38,4a,01,07,09,81,eb,92,1d,09,01,05,0c,01,ef,21,02,22,03,a9,6d,1e,3f,77,1b,7a,3f,f7,1a,4b,40,3c,67,df,40,83,23,37,40,a3,08,c3,40,c2,c3,fa,3c,20,78,6a,13,02,1c,01,01,01,01,01,03,01,02,00
05,eb,90,20,4e,01,03,0a,99,01,01,01,01,01,01,01,01,13,cc,01,c6,85,0a,3d,b8,99,44,c0,42,f1,fb,41,1c,72,ee,01,01,05,eb,90,08,52,01,07,0a,81,eb,92,1d,09,01,05,0d,01,ef,21,02,22,03,a9,6e,06,3f,7b,34,5a,40,18,09,93,40,3f,15,f9,40,81,8c,10,40,9f,c1,33,40,c1,a5,be,3d,2b,61,5b,14,02,1e,01,01,01,01,01,03,01,02,00
05,eb,90,f0,55,01,03,0b,99,01,01,01,01,01,01,01,01,13,cc,01,c6,85,0b,bc,78,b9,f5,c0,3d,87,ab,41,1c,de,5a,01,01,05,eb,90,d8,59,01,07,0b,81,eb,92,1d,09,01,05,0e,01,ef,22,02,23,03,aa,6f,1e,3f,82,f5,1a,3f,fb,ba,aa,40,42,60,ce,40,7a,c1,6d,40,a1,0b,cd,40,c1,2d,74,bc,ff,2e,31,15,02,20,01,01,01,01,01,03,01,02,00
